ID,Район,Улица,Комнаты,Площадь,Этаж,Серия,Цена за м2,Цена,Ссылка
tr_55336275,Югла,Страздмуйжас 14,2,50,2/4,Нов.,2280 €,"114,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/yugla/ahghn.html
tr_57132167,центр,Таллинас 41,2,36,1/1,Дов. дом,1666 €,"60,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/centre/bgmdx.html
tr_56927322,Тейка,Кауказа 11,2,50,4/4,Нов.,3212 €,"160,640  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/teika/cjfkd.html
tr_56898377,Югла,Мурьяню 151,2,52,2/4,Нов.,2500 €,"130,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/yugla/dkbdo.html
tr_55728350,Югла,Страздмуйжас 14,2,50,2/4,Нов.,2320 €,"116,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/yugla/ckpjc.html
tr_55848202,р-он ул. Латгалес,Екабпилс 2,2,63,2/3,Спец. пр.,1380 €,"87,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/maskavas-priekshpilseta/fhbim.html
tr_57113885,центр,Кунгу 25,4,185,3/6,Нов.,2702 €,"500,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/centre/bgblo.html
tr_57259055,Иманта,Анниньмуйжас 40F,2,49,5/5,Лит. пр.,1222 €,"59,900  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/imanta/aigli.html
tr_57259037,Пурвциемс,Стайцелес 15,2,49,5/9,602-я,1028 €,"50,400  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/purvciems/ffmkj.html
tr_57258931,Вецмилгравис,Домбровска 39,2,52,7/9,602-я,673 €,"35,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/vecmilgravis/comem.html
tr_57179686,Зиепниеккалнс,Валдекю 62,2,52,5/9,602-я,1192 €,"62,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/ziepniekkalns/gfcbd.html
tr_57258901,Болдерая,Гобас 24,1,33,3/5,103-я,984 €,"32,500  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/bolderaya/dfnch.html
tr_56987529,Тейка,Бривибас 334,1,30,1/5,Хрущ.,1400 €,"42,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/teika/chfdh.html
tr_57258719,Агенскалнс,Кристапа 8,1,18,2/4,Хрущ.,1591 €,"28,650  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/agenskalns/gixem.html
tr_57058157,Чиекуркалнс,Эзермалас 4,2,34,1/5,Рекон.,1359 €,"46,230  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/chiekurkalns/bjhfln.html
tr_56233409,Агенскалнс,Кристапа 2,3,61,2/2,Рекон.,2789 €,"170,180  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/agenskalns/bepplp.html
tr_57101920,Агенскалнс,Триядибас 1a,4,110,2/7,Нов.,3681 €,"405,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/agenskalns/bxegkd.html
tr_57101909,Агенскалнс,Триядибас 1a,3,74,2/7,Нов.,3567 €,"264,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/agenskalns/dipdh.html
tr_57258620,Зиепниеккалнс,Виенибас Г. 192,3,112,1/4,Нов.,1696 €,"190,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/ziepniekkalns/acopx.html
tr_57149722,центр,Госпиталю 36A,5,146,6/6,Дов. дом,1780 €,"260,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/centre/cxcdd.html
tr_57095878,Иманта,Юрмалас Г. 59,1,50,7/12,104-я,1350 €,"67,500  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/imanta/coxfb.html
tr_57060898,Межапарк,Хамбургас 16,3,96,2/3,Дов. дом,1650 €,"158,400  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/mezhapark/bemocj.html
tr_56843338,центр,Райня бульв. 2,3,75,3/6,Рекон.,4600 €,"345,000€",https://www.ss.lv/msg/ru/real-estate/flats/riga/centre/adgoj.html
tr_57085243,Зиепниеккалнс,Кометас 30,2,66,1/4,Нов.,2257 €,"149,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/ziepniekkalns/dlgjx.html
tr_56107239,центр,Лачплеша 35,4,91,4/5,Рекон.,1681 €,"153,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/centre/amdpn.html
tr_56924913,центр,Стабу 16,5,143,5/6,Рекон.,1741 €,"249,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/centre/bcnbog.html
tr_57076645,Ильгюциемс,Буллю 20,1,37,1/2,Дов. дом,648 €,"24,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/ilguciems/cohio.html
tr_55166587,центр,Тербатас 50,4,80,4/5,Дов. дом,3000 €,"240,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/centre/bepddl.html
tr_57081353,Шампетерис-Плескодале,Лиелирбес 11,2,68,17/26,Нов.,2102 €,"143,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/shampeteris-pleskodale/aknij.html
tr_56923036,центр,Экспорта 12,3,100,4/6,Сталинка,2010 €,"201,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/centre/hdfkk.html
tr_57248679,Пурвциемс,Варавикснес Г. 20,2,64,5/9,602-я,2171 €,"139,000  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/purvciems/chiif.html
tr_55257628,Зиепниеккалнс,Зиепниеккална 75,4,96,2/4,Нов.,2784 €,"267,300  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/ziepniekkalns/bdnpnb.html
tr_55232620,Зиепниеккалнс,Зиепниеккална 75,3,78,1/4,Нов.,2789 €,"217,600  €",https://www.ss.lv/msg/ru/real-estate/flats/riga/ziepniekkalns/becpfg.html
